21027556,AONE ARKF BABA BIDU CDNA CMII COIN DKNG FATE IRDM JD KTOS MASS MPNGF NNDM NSTG NTDOY NVS OKTA PINS PSTG RHHBY SI SKLZ SYRS TAK TER TREE TSP TWTR U VCYT WKHS YHEKF INOS SPCE CRWD DE
21010856,GPRO
20981253,COIN
20981374,
20928121,AMZN NFLX SPY
20933545,GME
20927768,APHA TLRY
20913591,MRNA VXRT
20907426,LAZR PLUG
20833496,ARKF ARKQ ARKW ARKX BABA JD MPNGY PDD
20897487,GME
20892546,MSTR TSLA
20869960,PLUG
20856576,MSTR TSLA COIN
20804712,
20795241,BTC PLTR
20762309,
20754050,
20732323,FCEL FIDU PLUG
20721203,COIN
20719141,
20710452,APHA TLRY
20704763,CAG TWTR
20688451,PLTR QCOM
20685246,
20657400,FSR NIO TSLA
20655566,COIN
20654586,CAG GME TSLA TWTR
20654218,CAG TSLA
20633712,COIN
20648096,GOOG TSLA
20641596,AMC
20635946,COIN GME
20625185,AMC GME SNDL
20623073,PLUG
20604856,APHA TLRY SPY
20596012,AAPL AMZN TSLA
21911168,TSLA
21909587,NFLX
21909034,TSLA
21908917,
21889173,TSLA
21870420,AMC CLOV GME
21868957,AMZN EBAY TWTR WMT
21850540,TSLA
21805902,TWTR
21774642,
21758781,
21758350,
21757787,AMC BB CLOV GME SOFI SPCE WISH WKHS
21745688,NIO
21744023,AMC
21738940,TSLA
21728490,AMC
21718672,TSLA
21696823,
21686126,F TSLA
21678352,MMATF TRCH
21634642,ARKF ARKQ ARKW ARKX BABA BLDE GLEO JD NFLX
21612236,FOX
21620349,
21613689,CMCSA DKNG MGM
21599641,COIN
21582883,DIS
21564705,
21543570,TSLA
21534497,TSLA
21524631,
21523302,COIN
21485890,TSLA
21491984,GME TLRY
21483856,TSLA TWTR
21463795,TSLA
21453392,WKHS
21441125,AAPL AMC BA CNK DIS GM GS IMAX TLRY TSLA WFC
21385000,COIN
21382129,ARKQ ARKW NFLX NXPI PDD SPFR VUZI ARKX
21361051,TSLA
21341131,AMC GME NOK
21311678,TSLA
21256293,PLTR
21255984,AMC MRNA TGT
21254452,F
21220974,PLTR
21218412,TSLA
21217057,HYLN PLUG
21210852,TSLA
21192986,MARA RIOT TSLA
21169118,
21168516,
21152120,TSLA
21152749,PLUG
21147349,NIO TSLA
21145894,MSTR PYPL TSLA TWTR
21098648,SWRM TSLA
21065818,FCEL PLUG
21050757,AAPL ADPT ADYEY AONE API ARKF ARKK ARKW BEAM BEKE BIDU BLI CDNA CDXS CMII COIN DKNG FATE HUYA ICE IRDM KMTUY KTOS MASS NNDM NSTG NTDOY OPEN PATH PDD PHR PLTR PRNT REGN RHHBY RPTX SI SNPS SRPT SURF TAK TDY TER TREE TSLA TSP TTD TWLO TXG VCYT YHEKF INOS SPCE
21034120,NIO TSLA
21027226,SNDL
21028652,COIN TSLA
21013844,AMZN
20982135,TSLA
20955715,AMRS BCEL BNTX CVAC GME MSFT VIR
20942592,PLTR
20912197,
20907092,
20855721,AAPL GOOG GOOGL QCOM SPOT
20899553,
20889774,NIO
20867631,AMZN F TSLA
20837107,MVIS
20828910,
20817312,AMC F FB GME QQQ
20817362,VXRT
20795779,
20798235,BNGO
20789777,BTC COIN
20747194,COIN TSLA TWTR
20727343,JPM
20725094,
20707076,CCL PLUG ZOM
20696208,TSLA
20685153,
20645830,SNDL SPY
20673447,NVDA SNAP TSLA UAL
20657022,COIN
20659994,TSLA
20654699,
20654453,COIN
20636806,COIN PLTR RBLX SPOT
20625575,SNAP
20597482,
20583737,BLDP PLUG
20580770,KNOS TSLA
20576769,AAPL AMZN FB GOOGL NFLX TSLA
20571923,AAPL FB GOOG GOOGL TSLA APPL
20558658,
21908981,AAPL AMC BABA CLOV GME NEGG PLTR SPCE SPY WISH
21891368,
21875679,F
21863721,BAC WFC
21855884,DIS
21849283,AMC AMD BB CLOV DIDI GME SOFI SPCE SPY WISH
21810160,TSLA
21783173,TSLA
21796270,NIO
21790576,NIO
21787172,SPCE
21774944,
21779955,
21750942,AAPL AMZN BABA MSFT SHOP TSLA
21738246,AMZN MSFT TWTR
21679468,
21726750,AMZN BABA DIS F PENN
21725838,BABA BIDU JD
21717882,TSLA TWTR
21707584,
21711865,
21683096,GSAT
21624016,AMZN PLTR PLUG
21599868,TSLA
21592068,BB
21588643,BAC WFC
21561122,TSLA
21552816,FCEL PLUG
21543304,TSLA
21547116,NFLX
21543111,TSLA
21530689,VXRT
21518946,RIDE WKHS
21494810,GEO
21494433,TLRY
21485444,GME
21480878,
21480457,AGNC ARR GAIN LAND MAIN O PSEC SLG STAG SUUIF TRSWF WSR
21456982,
21453361,AMZN SNDL TLRY
21443933,BAC
21416720,AMC BB GME
21406270,AAPL GOOG GOOGL TSLA
21389255,PLTR
21387451,CGC MSFT ZM TSX:WEED
21341822,AMZN NKLA PLUG WMT
21337044,
21333636,BLK TSLA
21333298,AMC BB GME NOK
21300335,FCEL PLUG
21285947,
21273107,COIN
21270074,ARKF ARKK ARKW DKNG GH JD MASS NFLX PDD SGFY TREE TWTR ARKX
21263856,
21259110,LAZR TSLA
21229891,AAPL ARKF ARKK ARKW COIN PATH PSTG TCEHY TREE
21221440,
21208014,
21179803,BABA
21173472,NFLX
21165756,
21155622,AMZN
21146680,
21109287,GME
21097838,TSLA
21086343,DPZ PSTH SBUX
21082731,SQ
21074919,TSLA
21064666,COIN
21051457,AMZN FB GOOG GOOGL
21031100,DKNG
21028133,TSLA
21026504,AAL BA DIA LUV SPY
21006676,AMZN CLOV FB GOOG GOOGL ILMN LI MRNA NIO SHOP SNAP SPOT TSLA
20981638,STLA TSLA
20970230,NIO TSLA
20946869,BAC
20909501,BAC JPM
20910937,FARO SELB TWTR
20908225,API ARKG ARKK ARKW CMIIU DDD GLEO IONS IRDM MASS NVDA ONVO PCAR PDD PHR PSTG PSTI PYPL ROKU RXRX SE SI SPFR TCEHY TDOC TER TREE TSLA TWTR ZG ZY
20893988,MVIS
20892424,
20847539,
20792471,
20793856,NIO
20784075,
20769299,MMEDF
20766724,AAL CCL RCL
20719364,TSLA
20685314,PENN
20678645,
20676108,ARKF ARKW COIN SI SQ
20673409,COIN
20644806,AMC
20625716,AMC AMCX DMS MCS
20603587,TSLA
20591320,KNOS TSLA
20582318,
20582019,CHWY GME
20568028,
21909467,DIDI NIO
21890043,
